SlotA;SlotB;SlotC;Fear;Sadness;Anger;Disdain;Disgust;Depression
Joke;;;1;;;;;
Cuddle;;;;1;;;;
Talk;;;;;1;;;
Sing;;;;;;1;;
Dance;;;;;;;1;
Tell;;;;;;;;1
Joke;Loud;;3;;;;;
Joke;Joke;Loud;5;;;;;
Cuddle;Soft;;;3;;;;
Cuddle;Cuddle;Soft;;5;;;;
Talk;Soft;;;;3;;;
Talk;Talk;Soft;;;5;;;
Sing;Loud;;;;;3;;
Sing;Sing;Loud;;;;5;;
Dance;Playful;;;;;;3;
Dance;Dance;Playful;;;;;5;
Tell;Playful;;;;;;;3
Tell;Tell;Playful;;;;;;5
Sing;Joke;;3;;;3;;
Sing;Joke;Loud;5;;;5;;
Talk;Cuddle;;;3;3;;;
Talk;Cuddle;Soft;;5;5;;;
Tell;Dance;;;;;;3;3
Tell;Dance;Playful;;;;;5;5
Tell;Joke;;2;2;;;;2
Tell;Joke;Loud;4;4;;;;4
Sing;Cuddle;;;2;;2;;2
Sing;Cuddle;Soft;;4;;4;;4
Talk;Dance;;;;2;2;2;
Talk;Dance;Playful;;;4;4;4;
Cuddle;Tell;Joke;4;4;;;;4
Talk;Sing;Dance;;;4;4;4;
Joke;Sing;Talk;3;3;3;3;;
Dance;Sing;Cuddle;;3;;3;3;2
Dance;Tell;Joke;3;;3;;3;3
Tell;Cuddle;Talk;;3;3;3;;3
